timestamp,x,y,pol
21,28,24,1
21,7,24,1
21,32,81,1
21,87,92,1
21,109,105,1
21,71,59,1
21,13,12,1
21,57,38,1
21,1,40,1
21,108,64,1
21,45,74,1
21,10,63,1
21,15,126,1
21,50,58,1
21,30,107,1
21,97,123,1
21,84,94,1
21,9,123,1
21,39,113,1
21,61,51,1
21,80,105,1
21,80,99,1
21,32,115,1
21,48,61,1
21,60,106,1
21,99,74,1
21,79,23,1
21,54,104,1
21,0,1,1
21,8,123,1
21,28,118,1
21,8,6,1
21,29,86,1
21,27,90,1
21,37,112,1
21,23,28,1
21,11,13,1
21,46,12,1
21,100,92,1
21,26,23,1
21,20,79,1
21,90,78,1
21,91,124,1
21,27,125,1
21,51,97,1
21,115,33,1
21,25,77,1
21,90,127,1
21,11,39,1
21,30,119,1
21,28,100,1
21,84,72,1
21,31,117,1
21,7,14,1
21,72,86,1
21,77,120,1
21,62,40,1
21,2,55,1
21,14,111,1
21,32,23,1
21,12,30,1
21,20,55,1
21,50,74,1
21,98,9,1
21,28,71,1
21,25,71,1
21,25,96,1
21,82,4,1
21,82,80,1
21,47,82,1
21,32,123,1
21,33,26,1
21,53,51,1
21,87,101,1
21,13,52,1
21,87,86,1
21,7,19,1
21,84,112,1
21,81,42,1
21,76,106,1
21,38,71,1
21,91,55,1
21,95,2,1
21,33,109,1
21,21,66,1
21,43,96,1
21,76,68,1
21,116,57,1
21,108,17,1
21,3,42,1
21,81,115,1
21,44,76,1
21,10,86,1
21,50,37,1
21,4,11,1
21,47,23,1
21,70,101,1
21,80,116,1
21,42,92,1
21,8,15,1
21,87,35,1
21,89,72,1
21,66,17,1
21,18,81,1
21,66,13,1
21,98,82,1
21,15,17,1
21,61,110,1
21,65,72,1
21,50,26,1
21,64,90,1
21,58,95,1
21,14,77,1
21,84,41,1
21,16,42,1
21,72,49,1
21,31,71,1
21,88,66,1
21,33,51,1
21,91,56,1
21,69,19,1
21,0,4,1
21,6,91,1
21,11,72,1
21,50,44,1
21,44,52,1
21,61,84,1
21,43,56,1
21,61,95,1
21,25,115,1
21,14,70,1
21,116,102,1
21,92,96,1
21,48,83,1
21,70,96,1
21,75,73,1
21,48,31,1
21,42,22,1
21,9,84,1
21,51,38,1
21,22,88,1
21,26,48,1
21,46,124,1
21,116,40,1
21,17,70,1
21,116,48,1
21,27,76,1
21,50,115,1
21,98,3,1
21,85,57,1
21,46,31,1
21,58,20,1
21,43,75,1
21,39,28,1
21,8,79,1
21,86,106,1
21,74,108,1
21,84,122,1
21,68,35,1
21,101,37,1
21,88,105,1
21,53,114,1
21,61,6,1
21,84,70,1
21,103,12,1
21,42,0,1
21,124,106,1
21,115,114,1
21,74,110,1
21,57,55,1
21,9,74,1
21,71,5,1
21,26,50,1
21,115,112,1
21,36,54,1
21,41,118,1
21,31,94,1
21,32,11,1
21,33,13,1
21,91,61,1
21,56,106,1
21,9,51,1
21,1,37,1
21,73,97,1
21,62,70,1
21,30,72,1
21,18,103,1
21,94,11,1
21,88,102,1
21,50,120,1
21,44,39,1
21,81,85,1
21,84,0,1
21,28,116,1
21,41,36,1
21,72,89,1
21,14,11,1
21,89,127,1
21,124,11,1
21,62,127,1
21,45,91,1
21,69,52,1
21,65,113,1
21,30,73,1
21,82,27,1
21,14,3,1
21,48,105,1
21,78,104,1
21,25,107,1
21,91,57,1
21,30,119,1
21,94,116,1
21,37,39,1
21,83,104,1
21,29,115,1
21,92,30,1
21,31,59,1
21,109,2,1
21,84,53,1
21,47,47,1
21,4,80,1
21,41,70,1
21,50,94,1
21,16,76,1
21,62,115,1
21,67,38,1
21,14,52,1
21,53,55,1
21,85,59,1
21,58,11,1
21,33,64,1
21,77,20,1
21,8,85,1
21,101,85,1
21,37,118,1
21,8,96,1
21,29,12,1
21,11,0,1
21,47,86,1
21,95,70,1
21,36,38,1
21,39,47,1
21,88,104,1
21,1,63,1
21,50,107,1
21,31,73,1
21,13,73,1
21,21,0,1
21,70,44,1
21,46,27,1
21,9,2,1
21,109,34,1
21,14,122,1
21,74,9,1
21,109,74,1
21,55,19,1
21,64,72,1
21,8,33,1
21,29,123,1
21,4,33,1
21,114,124,1
21,26,99,1
21,22,30,1
21,76,15,1
21,83,81,1
21,126,77,1
21,77,28,1
21,95,48,1
21,14,83,1
21,80,96,1
21,78,50,1
21,20,4,1
