timestamp,x,y,pol
22,18,69,1
22,84,10,1
22,37,105,1
22,68,46,1
22,46,70,1
22,30,119,1
22,69,62,1
22,87,7,1
22,47,72,1
22,31,84,1
22,30,68,1
22,6,33,1
22,66,13,1
22,63,8,1
22,126,21,1
22,83,6,1
22,33,31,1
22,62,125,1
22,33,110,1
22,33,9,1
22,62,62,1
22,34,116,1
22,67,70,1
22,4,13,0
22,4,90,1
22,80,12,1
22,35,22,1
22,39,33,1
22,79,120,1
22,125,72,1
22,75,74,1
22,107,81,1
22,121,24,1
22,15,105,1
22,40,73,1
22,82,20,1
22,106,120,1
22,4,14,1
22,108,71,1
22,38,51,1
22,76,68,1
22,56,76,1
22,55,87,1
22,85,31,1
22,90,89,1
22,66,70,1
22,9,21,1
22,9,58,1
22,74,35,1
22,22,52,1
22,82,67,1
22,28,50,1
22,76,9,1
22,124,71,1
22,111,52,1
22,33,61,1
22,28,108,1
22,121,10,1
22,125,2,1
22,71,84,1
22,73,22,1
22,32,60,1
22,49,54,1
22,88,51,1
22,89,71,1
22,42,122,1
22,79,57,1
22,99,96,1
22,106,1,1
22,3,59,1
22,48,79,1
22,38,83,1
22,117,58,1
22,27,72,1
22,99,100,1
22,29,20,1
22,36,104,1
22,37,6,1
22,122,14,1
22,44,81,1
22,19,45,1
22,119,9,1
22,63,10,1
22,94,47,1
22,61,107,1
22,101,14,1
22,106,18,1
22,69,110,1
22,49,39,1
22,51,76,1
22,126,95,1
22,91,0,1
22,59,7,1
22,70,5,1
22,80,60,1
22,45,92,1
22,111,70,1
22,26,40,1
22,5,96,1
22,113,33,1
22,24,2,1
22,93,29,1
22,85,122,1
22,121,55,1
22,20,100,1
22,111,79,1
22,6,53,1
22,38,37,1
22,102,16,1
22,15,3,1
22,16,11,1
22,25,4,1
22,37,100,1
22,22,23,1
22,60,91,1
22,72,104,1
22,67,64,1
22,35,44,1
22,102,5,1
22,63,83,1
22,126,52,1
22,85,79,1
22,65,29,1
22,49,81,1
22,66,103,1
22,48,83,1
22,77,29,1
22,52,75,1
22,16,69,1
22,85,34,1
22,108,80,1
22,111,89,1
22,34,112,1
22,14,113,1
22,72,28,1
22,96,19,1
22,15,121,1
22,120,37,1
22,120,55,1
22,59,41,1
22,55,53,1
22,105,16,1
22,31,101,1
22,115,47,1
22,29,10,1
22,61,9,1
22,82,22,1
22,52,77,1
22,91,101,1
22,53,86,1
22,98,127,1
22,85,110,1
22,29,90,1
22,60,108,1
22,8,15,1
22,81,68,1
22,96,67,1
22,34,115,1
22,60,117,1
22,46,63,1
22,88,119,1
22,98,114,1
22,124,68,1
22,53,107,1
22,72,27,1
22,120,113,1
22,15,45,1
22,46,76,1
22,34,109,1
22,25,68,1
22,56,67,1
22,86,19,1
22,3,29,1
22,15,53,1
22,21,127,1
22,60,109,1
22,76,69,1
22,66,78,1
22,45,126,1
22,6,90,1
22,67,9,1
22,40,27,1
22,51,65,1
22,118,78,1
22,6,118,1
22,109,43,1
22,32,0,1
22,116,48,1
22,32,0,0
22,4,117,1
22,81,38,1
22,78,56,1
22,45,13,1
22,90,22,1
22,64,112,1
22,98,44,1
22,73,40,1
22,5,54,1
22,68,38,1
22,39,91,1
